INFO 2025-07-09 05:01:52,665 basehttp 8627 6194753536 "GET /api/v1/organizations/ HTTP/1.1" 200 52
INFO 2025-07-09 05:01:52,665 basehttp 8627 6228406272 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
INFO 2025-07-09 05:01:52,667 basehttp 8627 6278885376 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:01:52,670 basehttp 8627 6194753536 "GET /api/v1/auth/users/ HTTP/1.1" 200 309
WARNING 2025-07-09 05:01:54,392 log 8627 6295711744 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:54,392 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:01:54,399 log 8627 6295711744 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:54,399 basehttp 8627 6295711744 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:56,492 log 8627 6295711744 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:01:56,493 basehttp 8627 6295711744 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:01:56,593 log 8627 6295711744 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:01:56,593 basehttp 8627 6295711744 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:04:57,122 log 8627 6194753536 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:04:57,126 log 8627 6211579904 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:04:57,126 basehttp 8627 6194753536 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:04:57,126 basehttp 8627 6211579904 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:04:57,163 log 8627 6194753536 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:04:57,163 basehttp 8627 6194753536 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:04:57,168 log 8627 6211579904 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:04:57,168 basehttp 8627 6211579904 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:05:00,054 log 8627 6211579904 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:05:00,054 log 8627 6194753536 Not Found: /api/dashboard/main
